epoch,binary_accuracy,dice,loss,lr,val_binary_accuracy,val_dice,val_loss
0,0.86099434,0.71227735,0.33614550303253865,0.001,0.8109371662139893,0.6151909232139587,1.9798312187194824
1,0.9074131,0.7963985,0.23010597357319462,0.001,0.8607088923454285,0.6663529276847839,0.30219754576683044
2,0.91365045,0.8163924,0.21053274162113667,0.001,0.8997251391410828,0.8048422932624817,0.45585259795188904
3,0.92498434,0.839738,0.19373959882391822,0.001,0.9253399968147278,0.8266722559928894,0.29982078075408936
4,0.9302675,0.8531931,0.18001828332328135,0.001,0.9213054180145264,0.8049941658973694,0.12550409138202667
5,0.9333505,0.85877454,0.1818070642443167,0.001,0.9277278184890747,0.8423183560371399,0.2229839414358139
6,0.93769294,0.86820674,0.16570890684508616,0.001,0.9079662561416626,0.7772409915924072,0.46102234721183777
7,0.9383516,0.87042695,0.16559902009450728,0.001,0.9150712490081787,0.8046585917472839,0.16864551603794098
8,0.9469609,0.88516885,0.1408173299084107,0.0003,0.9448802471160889,0.8796691298484802,0.1470695436000824
9,0.94823855,0.8915885,0.13153167493227455,0.0003,0.9487159252166748,0.8893613219261169,0.17447571456432343
10,0.94811785,0.8911345,0.13481579845150313,0.0003,0.9417805075645447,0.8788468837738037,0.18608209490776062
11,0.9563018,0.90712094,0.11549673162193762,0.0003,0.951633870601654,0.8933907747268677,0.12553629279136658
12,0.95389384,0.903833,0.12103488022047612,0.0003,0.9481760263442993,0.8868573904037476,0.10926686972379684
13,0.9526518,0.90179294,0.12471279072471791,0.0003,0.948169469833374,0.8883636593818665,0.1753307431936264
14,0.9598261,0.91659874,0.10584839417909582,9e-05,0.9525480270385742,0.8990355730056763,0.15948618948459625
15,0.96195173,0.9206845,0.09972390377273162,9e-05,0.952684760093689,0.8992748260498047,0.1421806961297989
16,0.9641613,0.9238223,0.09607714481858744,9e-05,0.955522358417511,0.9049158692359924,0.13200139999389648
17,0.9660282,0.9309242,0.08932843556006749,9e-05,0.9538667798042297,0.9014018774032593,0.1444598287343979
18,0.96908003,0.93407387,0.08410624590598875,9e-05,0.954851508140564,0.904011607170105,0.13402922451496124
19,0.9708113,0.93906933,0.08026434843324953,2.7e-05,0.9554817080497742,0.904866099357605,0.13441117107868195
20,0.9719173,0.94293743,0.07561044472580154,2.7e-05,0.9552984237670898,0.9051995873451233,0.14016863703727722
21,0.97444504,0.9475073,0.06833819584507081,8.1e-06,0.9555708169937134,0.9060271978378296,0.13522203266620636
22,0.97311753,0.9435824,0.07186453722210394,8.1e-06,0.955711305141449,0.9067456126213074,0.1364879161119461
23,0.97316426,0.9453109,0.07114702783938912,8.1e-06,0.9554422497749329,0.9061934947967529,0.13292115926742554
24,0.9731482,0.9444475,0.07109275967296627,8.1e-06,0.955508828163147,0.9063554406166077,0.13545100390911102
25,0.9742329,0.9476276,0.07030636470557915,2.43e-06,0.9557318091392517,0.9065819978713989,0.13324828445911407
26,0.97534555,0.9495317,0.06800385031642185,2.43e-06,0.9557517766952515,0.9068697094917297,0.1360338181257248
27,0.97487545,0.94814706,0.06811833340260717,7.29e-07,0.9557750821113586,0.9068706631660461,0.1363929808139801
28,0.9743903,0.9474712,0.07068858875168695,7.29e-07,0.9558818936347961,0.9071648120880127,0.13461792469024658
29,0.9752165,0.95009166,0.06705317009861271,7.29e-07,0.9556429386138916,0.9067400693893433,0.13582256436347961
30,0.97520185,0.94828725,0.06549986896829472,7.29e-07,0.9555571675300598,0.9065346717834473,0.13695475459098816
31,0.97530544,0.9493957,0.0671627273162206,2.1870001e-07,0.9559957981109619,0.9073389172554016,0.13392546772956848
32,0.9761623,0.9501739,0.06531686630720894,2.1870001e-07,0.9558175206184387,0.9070766568183899,0.13551820814609528
