epoch,binary_accuracy,dice,loss,lr,val_binary_accuracy,val_dice,val_loss
0,0.8538431,0.70909905,0.34762034461730057,0.001,0.8388162851333618,0.48928603529930115,1.2539010047912598
1,0.90413964,0.79174095,0.24334866429368654,0.001,0.7139034867286682,0.5167158842086792,0.729226291179657
2,0.917072,0.8226227,0.21296750971426567,0.001,0.9437749981880188,0.8621110916137695,0.1423279196023941
3,0.9209265,0.83281434,0.202545750575761,0.001,0.9195182919502258,0.8183654546737671,0.2638620436191559
4,0.92686933,0.84518695,0.19349422699047458,0.001,0.9512131214141846,0.8822919130325317,0.13736224174499512
5,0.92953914,0.8513863,0.1788262031558487,0.001,0.8657482862472534,0.7443621754646301,0.991215705871582
6,0.92736465,0.845821,0.18222355863286388,0.001,0.9131714105606079,0.8221215605735779,0.2907261550426483
7,0.9386568,0.8727834,0.15784762603127295,0.0003,0.9585385322570801,0.898619532585144,0.1399945169687271
8,0.9473928,0.8892942,0.1392788602453139,0.0003,0.9584817290306091,0.8992401361465454,0.14571593701839447
9,0.94998753,0.8960145,0.13205714161611265,0.0003,0.9573301076889038,0.8959410190582275,0.14165200293064117
10,0.9550326,0.90539986,0.11923562994019853,9e-05,0.960411548614502,0.9040030241012573,0.1220259815454483
11,0.95353866,0.90385234,0.12018708843323919,9e-05,0.9598594903945923,0.9038640856742859,0.13628341257572174
12,0.95790815,0.91585934,0.11110361758619547,9e-05,0.9613843560218811,0.9079745411872864,0.12056644260883331
13,0.9598184,0.9165132,0.10668812262722188,9e-05,0.9587793946266174,0.9013530611991882,0.12498392164707184
14,0.9582347,0.9137181,0.11043431982398033,9e-05,0.9563596248626709,0.8969497084617615,0.13826240599155426
15,0.96275353,0.9241758,0.10060288141378099,2.7e-05,0.9600259065628052,0.904686689376831,0.13069896399974823
16,0.9641763,0.92481846,0.09547564170012872,2.7e-05,0.9589511752128601,0.9025947451591492,0.13526229560375214
17,0.9627618,0.92576545,0.09979606626762284,8.1e-06,0.9594078660011292,0.9038291573524475,0.13463065028190613
18,0.96496856,0.9266565,0.09451870671990845,8.1e-06,0.9594351649284363,0.9042170643806458,0.1347857415676117
19,0.9659322,0.93154633,0.09164834281222688,2.43e-06,0.9594162702560425,0.9041987657546997,0.13327732682228088
20,0.9651701,0.9287122,0.09342767230959402,2.43e-06,0.9594720602035522,0.9044644236564636,0.13232362270355225
21,0.9655876,0.9293126,0.0919851483259764,7.29e-07,0.9594367742538452,0.904462456703186,0.1319257915019989
22,0.9638249,0.926501,0.0947140523025559,7.29e-07,0.9592292904853821,0.9039310812950134,0.13178260624408722
23,0.96759343,0.9334169,0.08819508314546612,2.1870001e-07,0.9594002962112427,0.9042961001396179,0.13188792765140533
24,0.96546316,0.9296395,0.09242698741662833,2.1870001e-07,0.9596739411354065,0.9049502015113831,0.13159692287445068
25,0.96557504,0.9303349,0.09210851674692498,6.561e-08,0.9595232605934143,0.9045426249504089,0.13188447058200836
26,0.96539843,0.92984486,0.09362482621024053,6.561e-08,0.9594619870185852,0.9044051766395569,0.1315235197544098
27,0.96765316,0.93419063,0.08709573957862125,1.9683e-08,0.9590013027191162,0.903407871723175,0.13233959674835205
28,0.9655514,0.9291875,0.09402033743552035,1.9683e-08,0.9590281248092651,0.9035539627075195,0.13285265862941742
29,0.96609616,0.93112713,0.09092908264655206,5.9049e-09,0.959226131439209,0.9039189219474792,0.13358481228351593
30,0.9643185,0.926393,0.0964232079891695,5.9049e-09,0.9593796730041504,0.904272735118866,0.1325206160545349
31,0.96439743,0.9263187,0.09589872172930175,1.7714701e-09,0.9592113494873047,0.9039002656936646,0.13205406069755554
32,0.96579355,0.9299356,0.09271427694087227,1.7714701e-09,0.9591451287269592,0.9038536548614502,0.1320086568593979
33,0.96427953,0.925883,0.0924588355442716,5.31441e-10,0.9594988822937012,0.9045095443725586,0.13123808801174164
34,0.9659001,0.92877835,0.09366090518111984,5.31441e-10,0.9591872692108154,0.9039197564125061,0.13205918669700623
35,0.9652312,0.9288291,0.09317871819560726,1.594323e-10,0.9593608379364014,0.9042447805404663,0.13244450092315674
36,0.962866,0.9255265,0.09715346246957779,1.594323e-10,0.9591353535652161,0.9037404656410217,0.13215023279190063
37,0.9671956,0.9329051,0.08960793436401421,4.782969e-11,0.9591926336288452,0.9038762450218201,0.13253040611743927
38,0.9643669,0.92594177,0.09406314810944928,4.782969e-11,0.9595412015914917,0.9046199321746826,0.13222838938236237
39,0.9644757,0.92840564,0.09387914500095779,1.43489075e-11,0.9593581557273865,0.904175877571106,0.13187217712402344
40,0.9665904,0.930583,0.08854849817645219,1.43489075e-11,0.9593791961669922,0.9042643904685974,0.13152852654457092
41,0.964693,0.92746323,0.09527867613360286,4.304672e-12,0.9591993093490601,0.9038921594619751,0.13251398503780365
42,0.9656932,0.9312781,0.09208456385466787,4.304672e-12,0.9590258002281189,0.903468906879425,0.13250590860843658
43,0.9641323,0.92693436,0.09630231885239482,1.2914017e-12,0.9592578411102295,0.9039647579193115,0.1327444612979889
44,0.96595657,0.9307605,0.09136943400113119,1.2914017e-12,0.9592092037200928,0.9039750695228577,0.13165824115276337
45,0.96588117,0.9304904,0.09073612787243393,3.874205e-13,0.9589082598686218,0.9032934308052063,0.13263387978076935
46,0.96539646,0.9302027,0.09222533900497688,3.874205e-13,0.9593016505241394,0.9041576385498047,0.13121367990970612
47,0.96682346,0.9304409,0.0908688916824758,1.1622615e-13,0.9594266414642334,0.9044411778450012,0.13202162086963654
48,0.96583766,0.9309273,0.09372055194237167,1.1622615e-13,0.9591711163520813,0.9038403034210205,0.13190282881259918
49,0.9662389,0.93206555,0.09100839180044001,3.4867844e-14,0.9595494866371155,0.9046850204467773,0.13145451247692108
