epoch,binary_accuracy,dice,loss,lr,val_binary_accuracy,val_dice,val_loss
0,0.84492666,0.6971124,0.35672992364399964,0.001,0.7941724061965942,0.639147162437439,0.6984707117080688
1,0.8973442,0.76805615,0.24834110318786567,0.001,0.9086043238639832,0.7895345687866211,0.23413103818893433
2,0.908643,0.80526185,0.22981556918885973,0.001,0.8526102900505066,0.7470676898956299,0.267841100692749
3,0.9184334,0.8255175,0.210414730426338,0.001,0.9017046093940735,0.7985554933547974,0.2446833699941635
4,0.9355359,0.8609407,0.1680466922827893,0.0003,0.9389973282814026,0.8667707443237305,0.12984827160835266
5,0.9377181,0.86914605,0.15697822854336765,0.0003,0.9372678399085999,0.8604724407196045,0.12327230721712112
6,0.94411635,0.87876445,0.14645986683252785,0.0003,0.9251492619514465,0.8545664548873901,0.13681909441947937
7,0.9463122,0.883467,0.13796047110938364,9e-05,0.9428234696388245,0.8784655332565308,0.09849183261394501
8,0.94965506,0.89140075,0.1329383599675364,9e-05,0.9422715902328491,0.8774289488792419,0.09340278059244156
9,0.950208,0.8944845,0.1276913048285577,9e-05,0.9441770911216736,0.8822110891342163,0.0968511700630188
10,0.9508962,0.8980806,0.12535295552677578,9e-05,0.9450424313545227,0.8831738233566284,0.10244321078062057
11,0.95545655,0.90603,0.1171026047733095,9e-05,0.949008584022522,0.8898392915725708,0.09001444280147552
12,0.95568967,0.90625465,0.11477021909215385,9e-05,0.9448788166046143,0.8835305571556091,0.08870560675859451
13,0.95945084,0.91740924,0.10892055494089921,9e-05,0.9479295015335083,0.8871673941612244,0.08113677054643631
14,0.9623735,0.92130727,0.10233689585907592,2.7e-05,0.9495588541030884,0.8949034810066223,0.07897522300481796
15,0.9639586,0.92561543,0.09858075451726715,2.7e-05,0.9495095014572144,0.8947553634643555,0.07036187499761581
16,0.9646951,0.9262015,0.09486345165512627,2.7e-05,0.9509260654449463,0.8980677127838135,0.07248815149068832
17,0.96570647,0.9313543,0.094298648647964,2.7e-05,0.949596643447876,0.8955346345901489,0.07051742076873779
18,0.9655623,0.9282386,0.09440388835759626,2.7e-05,0.9526251554489136,0.9023151993751526,0.062039539217948914
19,0.9676087,0.93272305,0.09041674041913615,2.7e-05,0.9475597739219666,0.8926975131034851,0.06611566990613937
20,0.9678427,0.9346963,0.08848120996521579,2.7e-05,0.9513532519340515,0.9023982286453247,0.06896858662366867
21,0.9711215,0.9401314,0.07917017706980307,8.1e-06,0.9485244154930115,0.8962397575378418,0.06714224070310593
22,0.9703778,0.9398686,0.0813648491166532,8.1e-06,0.9475091695785522,0.8929409980773926,0.06949030607938766
