epoch,binary_accuracy,dice,loss,lr,val_binary_accuracy,val_dice,val_loss
0,0.86181617,0.7089372,0.3407796389526791,0.001,0.8500970602035522,0.6220443248748779,1.1710076332092285
1,0.910186,0.8089398,0.23215996970733008,0.001,0.846149742603302,0.6188527345657349,0.372540146112442
2,0.91509813,0.81603503,0.21850827977889115,0.001,0.9230619072914124,0.8285394310951233,0.22699348628520966
3,0.92335784,0.8366873,0.1990334629598591,0.001,0.936264157295227,0.8507289886474609,0.2724515199661255
4,0.92480487,0.8344708,0.1943554195264975,0.001,0.9187376499176025,0.8321733474731445,0.27585911750793457
5,0.9322556,0.85651535,0.18062781708108056,0.001,0.932357132434845,0.8355571031570435,0.3427472710609436
6,0.94395787,0.8818866,0.1507309607954489,0.0003,0.9500053524971008,0.8827295899391174,0.15702709555625916
7,0.94408226,0.8822552,0.14652456933011612,0.0003,0.9470364451408386,0.8781937956809998,0.1643497496843338
8,0.947869,0.8870002,0.13434273532281318,0.0003,0.9440409541130066,0.8656333684921265,0.1493179351091385
9,0.95253897,0.90106297,0.12598421905810633,9e-05,0.9509313106536865,0.8859388828277588,0.1412864327430725
10,0.95579195,0.9077388,0.11813324379424255,9e-05,0.9498286247253418,0.8876305222511292,0.15873579680919647
11,0.9553766,0.90733135,0.11597330335320698,9e-05,0.9528655409812927,0.8931755423545837,0.15311050415039062
12,0.95750356,0.911026,0.11359505158745581,9e-05,0.9544655084609985,0.8965013027191162,0.15730741620063782
13,0.95886815,0.9154181,0.11066499316237038,9e-05,0.956494927406311,0.9042219519615173,0.13503696024417877
14,0.9614778,0.9216099,0.10401425293336312,9e-05,0.9573317766189575,0.9020049571990967,0.13433173298835754
15,0.9583293,0.9111757,0.11020260956138372,9e-05,0.9546926617622375,0.8993569016456604,0.15027369558811188
16,0.9614066,0.91865665,0.10267686600693399,9e-05,0.9519338011741638,0.8913587927818298,0.16223107278347015
17,0.96733046,0.93206626,0.08855097068266736,2.7e-05,0.9569644927978516,0.9025049209594727,0.14838242530822754
18,0.96492285,0.9277995,0.0945531628612015,2.7e-05,0.958060622215271,0.9077112078666687,0.13813021779060364
19,0.9686563,0.9353914,0.08621744201001194,2.7e-05,0.9553497433662415,0.9005764126777649,0.1556442379951477
20,0.96831506,0.93276715,0.08784339566611582,2.7e-05,0.9577693343162537,0.905690610408783,0.1361805945634842
21,0.97070915,0.940794,0.0806525934798022,8.1e-06,0.9580572247505188,0.9069267511367798,0.13535642623901367
22,0.97038335,0.93768585,0.08126134254659216,8.1e-06,0.957040011882782,0.9048700928688049,0.13889950513839722
23,0.9719314,0.94234043,0.07830880690986912,2.43e-06,0.9559779763221741,0.9034405946731567,0.14195086061954498
24,0.97231823,0.94337153,0.07740032476269537,2.43e-06,0.9566951394081116,0.9042108058929443,0.14036071300506592
25,0.9710585,0.93864197,0.07796517438772652,7.29e-07,0.9562216997146606,0.903676450252533,0.14125719666481018
26,0.97038734,0.93875474,0.08073982761965857,7.29e-07,0.9564234018325806,0.9038556218147278,0.14063841104507446
27,0.97136337,0.9413862,0.07888716702452964,2.1870001e-07,0.9567161798477173,0.9044081568717957,0.1396314650774002
28,0.97137773,0.9403287,0.07885758449426955,2.1870001e-07,0.9566501975059509,0.9040853381156921,0.14145201444625854
29,0.9717178,0.9412106,0.07855168828326795,6.561e-08,0.956588625907898,0.9042152166366577,0.14061501622200012
30,0.9722608,0.9443332,0.07650376726976699,6.561e-08,0.9568403363227844,0.9043964147567749,0.14077609777450562
31,0.96984744,0.93748623,0.08347049029543996,1.9683e-08,0.956505298614502,0.9040042757987976,0.14143989980220795
32,0.97074854,0.94010854,0.08045775717538264,1.9683e-08,0.9566196799278259,0.9042613506317139,0.139529749751091
33,0.9700611,0.93889385,0.08252883314465483,5.9049e-09,0.9566266536712646,0.9042361378669739,0.13959160447120667
34,0.9722865,0.941647,0.07665301616200143,5.9049e-09,0.9565564393997192,0.9041191339492798,0.14048102498054504
35,0.9721783,0.9433764,0.07543652675425012,1.7714701e-09,0.9568343162536621,0.9045683145523071,0.13936243951320648
36,0.9726112,0.94325036,0.07573162365911736,1.7714701e-09,0.9565659761428833,0.9041665196418762,0.14035752415657043
37,0.97092885,0.93997043,0.07862411144499977,5.31441e-10,0.9568341374397278,0.9045182466506958,0.13958129286766052
38,0.9715223,0.9410218,0.07911889120522472,5.31441e-10,0.9565286040306091,0.9040930867195129,0.13990996778011322
39,0.9712848,0.941273,0.07916265534650949,1.594323e-10,0.956679105758667,0.9043651819229126,0.1412574201822281
40,0.97228473,0.94071335,0.07599195289529032,1.594323e-10,0.956550657749176,0.9042378664016724,0.14089618623256683
41,0.97309345,0.94475484,0.07573080559571584,4.782969e-11,0.9566376209259033,0.904262900352478,0.14071954786777496
42,0.9707518,0.93891823,0.07830319424263305,4.782969e-11,0.9566563963890076,0.9041825532913208,0.1402878761291504
43,0.97222507,0.94235176,0.07904917757130331,1.43489075e-11,0.9565585255622864,0.9041262865066528,0.14180608093738556
44,0.97130144,0.94065404,0.07938205342118938,1.43489075e-11,0.9567428827285767,0.9045212268829346,0.14080557227134705
45,0.97042793,0.9377759,0.081164318188611,4.304672e-12,0.9566880464553833,0.9042759537696838,0.14016051590442657
46,0.9714379,0.9402064,0.07736753118741843,4.304672e-12,0.9566530585289001,0.9043501019477844,0.14040590822696686
47,0.97189856,0.9413598,0.07739824936207798,1.2914017e-12,0.9563498497009277,0.9039364457130432,0.14115677773952484
48,0.96946055,0.9363025,0.08452726729835074,1.2914017e-12,0.956457257270813,0.903800368309021,0.14137589931488037
49,0.9719354,0.9422282,0.07678447684480084,3.874205e-13,0.9567031860351562,0.9041480422019958,0.14062295854091644
