epoch,binary_accuracy,dice,loss,lr,val_binary_accuracy,val_dice,val_loss
0,0.86223084,0.70201075,0.33392549492418766,0.001,0.636275589466095,0.5413200259208679,3.599470615386963
1,0.9045633,0.79431313,0.2311056080377764,0.001,0.8174008727073669,0.47946247458457947,0.9882158637046814
2,0.91229784,0.8152389,0.22427030073271859,0.001,0.8655951023101807,0.6804977655410767,0.39957523345947266
3,0.9192613,0.8231648,0.20529408121688497,0.001,0.7831353545188904,0.6599406599998474,0.5688608884811401
4,0.92946833,0.84469706,0.18585471094896397,0.001,0.859488308429718,0.761713445186615,0.5488152503967285
5,0.9400184,0.8699534,0.15883308535234797,0.0003,0.9384229779243469,0.8796262145042419,0.13318802416324615
6,0.94903123,0.89146656,0.1357384328213003,0.0003,0.933671772480011,0.8669108152389526,0.13710305094718933
7,0.94842756,0.8914513,0.14014902990311384,0.0003,0.9355838298797607,0.8707462549209595,0.14420418441295624
8,0.95431405,0.901809,0.12460268594117628,9e-05,0.9399075508117676,0.8821790814399719,0.12123211473226547
9,0.95380306,0.901674,0.12232038451151715,9e-05,0.9449962377548218,0.8905854821205139,0.11131639033555984
10,0.95840776,0.91571754,0.1128574797573189,9e-05,0.9406205415725708,0.8835318088531494,0.11582231521606445
11,0.95950264,0.91440433,0.10723767755553126,9e-05,0.9472426772117615,0.893782377243042,0.1141350045800209
12,0.958434,0.9128869,0.10784171211222808,9e-05,0.9460756182670593,0.895325779914856,0.09735947847366333
13,0.96215993,0.92062366,0.10138065047148201,9e-05,0.9419575333595276,0.8850952982902527,0.11452469974756241
14,0.9643423,0.9249543,0.09566505263663,2.7e-05,0.9448694586753845,0.8911952376365662,0.09842988103628159
15,0.96542215,0.92626053,0.09304978134524491,2.7e-05,0.9439594745635986,0.8906183242797852,0.09974242746829987
16,0.9701045,0.9374502,0.08386737511803706,8.1e-06,0.946036159992218,0.8951743245124817,0.09952536225318909
17,0.9680706,0.9339432,0.08676649547285503,8.1e-06,0.9445213079452515,0.8920392990112305,0.09962132573127747
18,0.9695261,0.9369843,0.08344357388301028,2.43e-06,0.9461929798126221,0.8956772089004517,0.09664809703826904
19,0.97034544,0.93680733,0.08188685190139545,2.43e-06,0.9456837773323059,0.8945658206939697,0.09865331649780273
20,0.96744305,0.9325496,0.08774545571456353,7.29e-07,0.9459381103515625,0.8951570391654968,0.09831999987363815
21,0.96891075,0.93467903,0.08196974747503798,7.29e-07,0.9456726312637329,0.8943749666213989,0.09804534167051315
22,0.9689756,0.93495095,0.08394919170273675,2.1870001e-07,0.9454246759414673,0.8941580057144165,0.09821628779172897
23,0.970418,0.93590546,0.08149404777213931,2.1870001e-07,0.9454468488693237,0.8941860198974609,0.09842413663864136
24,0.9689153,0.9357256,0.0855137260320286,6.561e-08,0.9457257390022278,0.8947188854217529,0.09767287969589233
25,0.96922094,0.9367192,0.08391320234578517,6.561e-08,0.9458413124084473,0.8948078155517578,0.09776155650615692
26,0.9698614,0.93716687,0.08156463840148515,1.9683e-08,0.9457606077194214,0.8946678042411804,0.09831281751394272
27,0.96947634,0.93604034,0.08215134580516154,1.9683e-08,0.9460078477859497,0.8951165676116943,0.09830116480588913
28,0.9722058,0.9413643,0.07802136175127493,5.9049e-09,0.9458193182945251,0.8949184417724609,0.09823719412088394
29,0.9693215,0.9345382,0.08279890448061956,5.9049e-09,0.9457508325576782,0.8949365019798279,0.0971580520272255
30,0.9682698,0.9348619,0.08470975141972303,1.7714701e-09,0.9459509253501892,0.8951712250709534,0.09713926911354065
31,0.9680479,0.9319804,0.08567653239394228,1.7714701e-09,0.945728063583374,0.8945833444595337,0.09777597337961197
32,0.96867836,0.93533736,0.08430810360651877,5.31441e-10,0.9456993341445923,0.8946712613105774,0.09881485253572464
33,0.9701942,0.9354583,0.08185762798206674,5.31441e-10,0.9458228945732117,0.8950363397598267,0.09766675531864166
34,0.9694769,0.93850356,0.0836615160935455,1.594323e-10,0.9454007148742676,0.8942474126815796,0.09771604835987091
35,0.9699738,0.9367346,0.08153202332970169,1.594323e-10,0.9458552598953247,0.8950788378715515,0.0968535840511322
36,0.967666,0.9312974,0.08717703979669346,4.782969e-11,0.9456957578659058,0.8947485089302063,0.09704366326332092
37,0.96881646,0.93387073,0.08520682099171811,4.782969e-11,0.9453923106193542,0.8939703702926636,0.09836329519748688
38,0.97137004,0.94074506,0.08019105060439971,1.43489075e-11,0.9455118775367737,0.8941267132759094,0.09905187785625458
39,0.968651,0.93392825,0.08628449568317996,1.43489075e-11,0.945483922958374,0.8943653702735901,0.09779868274927139
40,0.97080296,0.938447,0.0799678068401085,4.304672e-12,0.9458190202713013,0.8951048851013184,0.09765844792127609
