epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.36172095,2.579291652180993,0.001,0.3511618673801422,2.581047534942627
1,0.7429621,0.8733038925077692,0.001,0.6408253312110901,1.306095838546753
2,0.8382171,0.5390391480652537,0.001,0.5813301205635071,1.8175809383392334
3,0.88188297,0.3816398873967422,0.001,0.7520031929016113,0.805803120136261
4,0.90678114,0.29219989569345883,0.001,0.7305688858032227,1.0244479179382324
