epoch,dense_1_categorical_accuracy,dense_1_loss,dense_2_categorical_accuracy,dense_2_loss,dense_3_categorical_accuracy,dense_3_loss,loss,lr,val_dense_1_categorical_accuracy,val_dense_1_loss,val_dense_2_categorical_accuracy,val_dense_2_loss,val_dense_3_categorical_accuracy,val_dense_3_loss,val_loss
0,0.5494423,1.7983344,0.88710606,0.34846088,0.9060287,0.28451023,2.431304425760977,0.001,0.7736378312110901,0.783542275428772,0.9481169581413269,0.1670619249343872,0.9340945482254028,0.2190958708524704,1.1302522420883179
1,0.8678957,0.44778344,0.9656737,0.11648391,0.9665368,0.10698654,0.6712539006056258,0.001,0.828125,0.6011790037155151,0.9609375,0.14252614974975586,0.9595352411270142,0.12770874798297882,0.6455863118171692
2,0.9221406,0.25519595,0.97811174,0.07285652,0.9771822,0.07117611,0.3992284915011598,0.001,0.8621794581413269,0.5154398679733276,0.9505208134651184,0.16909269988536835,0.9683493375778198,0.1147553026676178,0.8867382407188416
3,0.9407312,0.18723217,0.98238313,0.05642229,0.9821618,0.056340843,0.2999952997347451,0.001,0.8403445482254028,0.6236733794212341,0.9609375,0.14991791546344757,0.9699519276618958,0.12022840231657028,0.8702653646469116
