epoch,dense_1_loss,dense_2_loss,dense_3_loss,loss,lr,val_dense_1_loss,val_dense_2_loss,val_dense_3_loss,val_hmar_incorrect,val_loss
0,0.6741881291245683,0.17577763408251082,0.15271894220415605,1.0026847059684336,0.001,0.29768446104223145,0.08934760951671977,0.08782026535226116,0.9251436345510395,0.4748523349821889
1,0.25804080076428865,0.07747273934030621,0.07412540636482035,0.4096389465906532,0.001,0.26301553385512805,0.08353524311856138,0.09061345101636793,0.9393692197258737,0.43716422811525085
2,0.1875689922309069,0.05835332201032001,0.05568536763484565,0.301607681761999,0.001,0.22152309942258191,0.06909664280437137,0.0686778061500921,0.9435346393556887,0.3592975473656742
3,0.08259934624713608,0.027132024039292754,0.027097903867668353,0.13682927425701844,0.0003,0.1354355031153759,0.047823059730262275,0.049945702307882235,0.967313247041188,0.23320426537590086
4,0.05306215586338155,0.018894671959359965,0.017916412787608676,0.08987324056085745,0.0003,0.13970049086994119,0.05176399478655813,0.04909757370133617,0.967353161771398,0.24056205999137936
5,0.024114774737345013,0.008703797940344222,0.008470224224572932,0.04128879689685411,9e-05,0.1460667792510434,0.05505808924624836,0.05338262643227107,0.970394992118583,0.2545074952291442
6,0.014358115309729344,0.005462462423276824,0.005110889796527981,0.02493146749626414,9e-05,0.1651133034399504,0.061336438895425345,0.05971219767492016,0.9712223028909016,0.2861619392458828
7,0.007494283527351284,0.0027806807892270338,0.002540707600774759,0.01281567191982362,2.7e-05,0.17100499686596937,0.06541813478264709,0.06408318071214845,0.9707912086349382,0.30050631240639886
8,0.005268812774176075,0.0020803123615319922,0.0018469954013336939,0.009196120538896888,2.7e-05,0.1815514610079159,0.06839811881334025,0.06815280843302242,0.9714145077582459,0.31810238913503763
