epoch,dense_1_categorical_accuracy,dense_1_loss,dense_2_categorical_accuracy,dense_2_loss,dense_3_categorical_accuracy,dense_3_loss,loss,lr,val_dense_1_categorical_accuracy,val_dense_1_loss,val_dense_2_categorical_accuracy,val_dense_2_loss,val_dense_3_categorical_accuracy,val_dense_3_loss,val_loss
0,0.20803824,3.2737653,0.78297627,0.62704974,0.81391644,0.53589636,4.436710691992352,0.001,0.04266826808452606,8.273658752441406,0.18689903616905212,6.600230693817139,0.6854968070983887,1.8507317304611206,16.57186508178711
1,0.638279,1.204938,0.9086181,0.27612928,0.9224947,0.23170918,1.7127760125287195,0.001,0.53125,1.9114184379577637,0.8553686141967773,0.4420580267906189,0.7127403616905212,1.0005611181259155,3.1894359588623047
2,0.7917847,0.68838,0.9428116,0.1781756,0.9475478,0.16024563,1.0268013499276158,0.001,0.6416265964508057,1.3470478057861328,0.9176682829856873,0.2586479187011719,0.9222756624221802,0.24097740650177002,1.8228826522827148
3,0.8485969,0.48620924,0.9583481,0.12944965,0.95932186,0.12294843,0.7386074544012378,0.001,0.762620210647583,0.8354085087776184,0.8960336446762085,0.3236648738384247,0.9389022588729858,0.19101254642009735,1.4210591316223145
4,0.8821928,0.3772708,0.9683295,0.100257464,0.9677098,0.09697345,0.5745018101785406,0.001,0.7403846383094788,1.0005079507827759,0.7149438858032227,1.0011323690414429,0.9397035241127014,0.20157571136951447,1.6616140604019165
5,0.9095255,0.28300515,0.9746813,0.08016091,0.9746813,0.076757744,0.43992380852739804,0.001,0.7946714758872986,0.8328269720077515,0.9375,0.19771715998649597,0.9479166865348816,0.17558464407920837,1.2654176950454712
6,0.92539394,0.23365003,0.97848797,0.06790546,0.9799708,0.062493727,0.3640491460521228,0.001,0.8102964758872986,0.797107994556427,0.9547275900840759,0.17184299230575562,0.9565304517745972,0.15355679392814636,1.0682471990585327
7,0.93537533,0.19994704,0.9810774,0.059011113,0.98043555,0.05812471,0.31708280020327473,0.001,0.8022836446762085,0.8077004551887512,0.8812099099159241,0.41070443391799927,0.9497195482254028,0.2001713663339615,1.461290717124939
8,0.94438297,0.1699489,0.9836668,0.051879898,0.984707,0.045569573,0.26739834054840184,0.001,0.8293269276618958,0.7463709712028503,0.9583333134651184,0.16973571479320526,0.9547275900840759,0.22047290205955505,1.0224038362503052
9,0.9509118,0.15051794,0.98517174,0.044756792,0.98623407,0.042083137,0.23735779376104263,0.001,0.5635015964508057,2.1374199390411377,0.46274039149284363,2.8428001403808594,0.7872596383094788,0.6812198758125305,6.19143009185791
10,0.9566882,0.13341105,0.9876726,0.039434113,0.98723,0.038051967,0.2108971332819874,0.001,0.8086938858032227,0.8391698002815247,0.7966746687889099,0.7156496644020081,0.956129789352417,0.20178744196891785,1.7067358493804932
11,0.98844725,0.03958188,0.99612695,0.0116923405,0.99674666,0.011032525,0.062306740904284945,0.0003,0.9058493375778198,0.4258084297180176,0.9727563858032227,0.12236114591360092,0.9733573794364929,0.13332797586917877,0.8087669014930725
12,0.9971229,0.012736636,0.99913687,0.0039038816,0.99926966,0.0036798057,0.02032032478785422,0.0003,0.9120593070983887,0.42373010516166687,0.9727563858032227,0.1293259710073471,0.9771634340286255,0.13085800409317017,0.5292786955833435
13,0.99858356,0.008031151,0.9996459,0.0021243403,0.9997787,0.0018828458,0.012038336848449648,0.0003,0.9120593070983887,0.4352758228778839,0.9739583134651184,0.13394969701766968,0.9751602411270142,0.13854540884494781,0.6074668169021606
14,0.99913687,0.0059135174,0.999823,0.001542641,0.9998451,0.0013831962,0.00883935357407052,0.0003,0.9148637652397156,0.4221726953983307,0.9741586446762085,0.1336078941822052,0.9761618375778198,0.13884738087654114,0.5928567051887512
15,0.9995131,0.004384814,0.9998672,0.0011242636,0.9998672,0.0010746679,0.006583745438980187,9e-05,0.9152644276618958,0.43063363432884216,0.9755609035491943,0.13281075656414032,0.9761618375778198,0.14255864918231964,0.7025340795516968
16,0.999823,0.003130478,0.9999557,0.0007343412,0.9999557,0.000724137,0.004588956619143254,9e-05,0.9156650900840759,0.43588006496429443,0.9751602411270142,0.13621293008327484,0.9775640964508057,0.14427222311496735,0.6634023189544678
17,0.9997787,0.0028595447,1.0,0.00070253207,0.9999557,0.00060915283,0.004171229799003697,2.7e-05,0.9166666865348816,0.4358573257923126,0.9751602411270142,0.1376570761203766,0.9773637652397156,0.14488576352596283,0.7588595151901245
18,0.9998893,0.002619361,1.0,0.0006044198,1.0,0.0005437109,0.0037674930186746983,2.7e-05,0.9172676205635071,0.4361633360385895,0.9749599099159241,0.1375638097524643,0.9771634340286255,0.14564360678195953,0.7837890982627869
19,0.9998008,0.002713383,0.9999779,0.00068096136,1.0,0.0005621153,0.003956458908598078,8.1e-06,0.9164663553237915,0.4362717270851135,0.9753605723381042,0.13353775441646576,0.9773637652397156,0.14597803354263306,0.7095085382461548
