epoch,dense_1_loss,dense_2_loss,dense_3_loss,loss,lr,val_dense_1_loss,val_dense_2_loss,val_dense_3_loss,val_loss
0,0.6417984926085968,0.1671822356483796,0.14637871028123145,0.9553594400067891,0.001,0.384398389259885,0.09466459096452853,0.0776954959171759,0.5567584763576997
1,0.2470173822045163,0.07440864491834105,0.07237686169935842,0.3938028890186217,0.001,0.26210014284981326,0.10141416174849525,0.06882479552453788,0.43233910015712307
2,0.1780284396412615,0.05476958921171849,0.053450464750651225,0.28624849385097606,0.001,0.20836202370561324,0.0686688507074002,0.06546644524013193,0.34249731996790567
3,0.13819900085830353,0.04439847515601272,0.04396004230924747,0.22655751826057982,0.001,0.21191591052656167,0.09185913027618649,0.07089409299820362,0.3746691338577487
4,0.1099146133417839,0.036629363370106735,0.03597138673883925,0.18251536333285387,0.001,0.2165633782057202,0.06286788088644903,0.06765666543598048,0.34708792425999735
5,0.08907066609052816,0.030220369321488055,0.0296178867771048,0.14890892194460478,0.001,0.19557919956244615,0.0588924486107106,0.05698422351544301,0.3114558722275431
6,0.03502960954165509,0.012448430868174619,0.01226118651022031,0.059739227008721495,0.0003,0.15226435016310766,0.05687871870391039,0.05479168912773192,0.26393475796679566
7,0.019698379508072163,0.007450038293020479,0.007361594897269785,0.034510012655030196,0.0003,0.16209996518127923,0.054981280874698,0.05651594763819654,0.27359719354286455
8,0.0073215401782274064,0.0027222871050286636,0.002655480662032547,0.012699307936817419,9e-05,0.17084350422507866,0.06107562363633285,0.0651845156904574,0.2971036449673333
9,0.0035734737879445032,0.0015952494031941915,0.0013687011021274057,0.006537424288435859,9e-05,0.1868564853427139,0.06869062622688636,0.07256616638438887,0.3281132773981309
10,0.0016558643628801042,0.0007200670752233742,0.0006525114279663656,0.0030284428589644054,2.7e-05,0.1921868416818585,0.07187690971062165,0.07629632979639393,0.34036008075562413
11,0.001147791705890772,0.0004730491810070914,0.0004952983401885282,0.002116139227964606,2.7e-05,0.1980706670542364,0.07214532535258746,0.07744265304309333,0.34765864671432384
12,0.000813464281181137,0.0004063415028076955,0.0003416926181639115,0.0015614984021568622,8.1e-06,0.19967254716810676,0.07334772376063702,0.07819727100779499,0.3512175412870093
13,0.0007479935616677882,0.00037354335364965144,0.0002601954195473981,0.0013817323318235876,8.1e-06,0.20282417548488538,0.07457424314523875,0.07975946966248376,0.35715788762589806
14,0.0006648941401568764,0.00033034637080951425,0.00023478293852954838,0.00123002344363051,2.43e-06,0.20367278040999726,0.07499313131644912,0.08019129633578517,0.35885720768085155
